text,label
someone is using my brand name without permission what can I do,LEGAL
create a REST API endpoint in Node.js,CODING
SQL query to compute churn rate from a subscriptions table,CODING
how do I get better at maths,GENERAL
symptoms of lupus,MEDICAL
how do I use context managers in Python,CODING
what is the legal notice period for eviction in the US,LEGAL
explain how a browser renders JavaScript,CODING
do I have the right to see a lawyer before police questioning in India,LEGAL
what is the legal process for filing a medical negligence case in India,LEGAL
my property was acquired by the government was I entitled to more compensation,LEGAL
what is 5G and how is it different from 4G,GENERAL
create a middleware function in Express.js,CODING
how does the GDPR affect businesses in the UK,LEGAL
why is my API call returning undefined,CODING
my hands are always cold even when it is warm outside what could cause that,MEDICAL
what are my rights if I am arrested without warrant in India,LEGAL
can a school legally stop a student from wearing a hijab in India,LEGAL
symptoms of a panic attack,MEDICAL
what causes chronic fatigue,MEDICAL
can my daughter inherit property equally with my sons under Indian law,LEGAL
how do I use localStorage in JavaScript,CODING
can I get a refund on a non-refundable ticket under UK consumer law,LEGAL
what causes ringing in the ears,MEDICAL
what are the laws around using AI generated content commercially,LEGAL
how do I use SQL subqueries,CODING
what is the difference between a cold and the flu,MEDICAL
implement a trie data structure in Java,CODING
how do beta blockers work,MEDICAL
what is the process for getting a legal separation in the UK,LEGAL
what are the scientific and ethical arguments around the death penalty,GENERAL
can a private company blacklist me from getting jobs in my industry,LEGAL
what is the Fibonacci sequence,GENERAL
what causes frequent urination,MEDICAL
my 70 year old father fell and hit his head,MEDICAL
can vitamin D deficiency cause depression,MEDICAL
can a landlord evict a tenant without a court order in India,LEGAL
write a function that processes satellite image metadata,CODING
what is compound interest and how does it work,GENERAL
what is the clinical significance of a prolonged QT interval,MEDICAL
how does gravity work,GENERAL
write a SQL query to find the second highest salary,CODING
how do I use the spread operator in JavaScript,CODING
how do black holes form,GENERAL
my landlord is asking for 6 months rent in advance is that legal in the UK,LEGAL
my knee keeps swelling after I run,MEDICAL
what are both the medical and legal risks of having surgery,GENERAL
what is depression and how is it treated,MEDICAL
my contractor abandoned the project halfway through what can I do,LEGAL
I was not paid for my notice period after resigning is that legal,LEGAL
what is the law on maternity leave in India,LEGAL
what are the business and ethical implications of using AI to make hiring decisions,GENERAL
I inherited this codebase and have no idea what it does,CODING
what is the philosophy of mind,GENERAL
how does copyright law work for creative work,LEGAL
what is stoicism,GENERAL
what are the health and cultural arguments for and against circumcision,GENERAL
how do I write a short story,GENERAL
write a function to parse a CSV file in Python,CODING
my hospital discharge summary says I had a myocardial infarction what is that,MEDICAL
write code to anonymize patient names in a dataset,CODING
what are the technical and ethical concerns with deepfake technology,GENERAL
can I be fired for posting on social media in the US,LEGAL
how does the COVID vaccine work,MEDICAL
what is a gene and how does DNA work,GENERAL
what is the clinical definition of metabolic syndrome,MEDICAL
my employer is not contributing to my provident fund in India is that legal,LEGAL
how long does it take for antibiotics to work,MEDICAL
write a function to deep clone a nested object in JavaScript,CODING
how does the right to information act work in India,LEGAL
how does the Motor Vehicles Act apply to accidents in India,LEGAL
what are the long term effects of untreated sleep apnea,MEDICAL
how does wi-fi work,GENERAL
what caused the French Revolution,GENERAL
I just got served a legal notice what do I do,LEGAL
what is blockchain and how does it work,GENERAL
what is the difference between type 1 and type 2 diabetes,MEDICAL
explain what food security means and who is legally responsible for ensuring it,GENERAL
what is a power of attorney and how do I get one,LEGAL
implement breadth first search in Python,CODING
what does yield do in Python,CODING
write code to analyze trends in financial transaction data,CODING
implement quicksort in Python,CODING
how do I use multiprocessing in Python,CODING
write a function to detect a cycle in a linked list,CODING
build a simple key-value store using a hash map in C++,CODING
what is the legal process for recovering money from a business partner who cheated me,LEGAL
what causes acid reflux,MEDICAL
how does the brain store memories,GENERAL
what is the difference between a symptom and a sign in general,GENERAL
what is the difference between a meteor and a meteorite,GENERAL
SQL query to calculate a 7-day rolling average from time series data,CODING
how does the immune system work,GENERAL
what is the treatment for gout,MEDICAL
can a hospital detain me if I can't pay my bill in India,LEGAL
is my approach to this problem correct,CODING
tell me about the ethics and science of animal testing,GENERAL
what does it mean when a tumor is described as stage 3,MEDICAL
explain climate change and also what should governments do about it legally,GENERAL
what are the risks of general anesthesia in elderly patients,MEDICAL
what is a normal white blood cell count,MEDICAL
what is the legal position on euthanasia in India,LEGAL
how do I use argparse in Python,CODING
what is automation and how does it affect jobs,GENERAL
how does the right to fair trial work,LEGAL
what are the seven wonders of the world,GENERAL
I was given a zero hours contract in the UK what rights do I have,LEGAL
my employer keeps changing my shift without notice is that legal in the UK,LEGAL
what is the difference between AR and VR,GENERAL
is it legal for a company to collect my health data through an app without telling me,LEGAL
can high blood pressure cause headaches,MEDICAL
is it legal for a company to use my face in their advertising without consent,LEGAL
how much water should I drink a day,MEDICAL
how does the liver process alcohol,MEDICAL
my 2 year old hasn't been eating for 2 days,MEDICAL
my doctor wants to put my 8 year old on ADHD medication is that safe,MEDICAL
this function returns None when it shouldn't,CODING
how does the placebo effect work and are there ethical issues with using it in medicine,GENERAL
I have been taking ibuprofen every day for a month for back pain is that dangerous,MEDICAL
my back has been killing me for months nothing helps,MEDICAL
is it safe to eat eggs every day,MEDICAL
what are the side effects of metformin,MEDICAL
what is the difference between a democracy and a republic,GENERAL
is it illegal to share someone's private photos without their consent in India,LEGAL
is it safe to drink protein shakes every day if I am not a professional athlete,MEDICAL
what is the legal liability of a hospital if a patient dies due to staff negligence,LEGAL
my period has been irregular for 6 months,MEDICAL
can I record a phone call without telling the other person in India,LEGAL
what are the best ways to stay motivated,GENERAL
getting 404 on all my API routes,CODING
I keep feeling dizzy when I stand up,MEDICAL
is it normal for a cut to be swollen and warm,MEDICAL
what are the psychological and legal aspects of addiction,GENERAL
can a landlord legally increase rent every year without a cap in India,LEGAL
how does machine learning work and what are the ethical concerns,GENERAL
what is GDP and how is it calculated,GENERAL
I am being bullied at work and HR is ignoring me what are my legal options,LEGAL
SQL query that ranks lawyers by number of cases won,CODING
what is memoization and when should I use it in code,CODING
my doctor found a nodule on my thyroid,MEDICAL
symptoms of vitamin B12 deficiency,MEDICAL
how does a hash table handle collisions in code,CODING
under IPC section 420 what exactly can I file a case for,LEGAL
how do I handle CORS in a Node.js API,CODING
write a SQL query to find duplicate rows,CODING
what is the legal process for adopting a child in India,LEGAL
what are the legal obligations of a therapist if I tell them I want to harm someone,LEGAL
what is the legal process for property registration in India,LEGAL
what is the best way to learn a skill quickly,GENERAL
what are the laws around drug possession in the UK,LEGAL
I think there's a race condition in my code,CODING
what is consciousness,GENERAL
my doctor found a cyst on my ovary and said to just monitor it should I be concerned,MEDICAL
who was Mahatma Gandhi,GENERAL
write a script to automate file renaming in Python,CODING
the database connection drops randomly,CODING
what is the ozone layer,GENERAL
what is the Big Bang theory,GENERAL
can my ISP throttle my internet speed and is that legal,LEGAL
what causes hair loss in women,MEDICAL
a doctor performed a surgery on me that I didn't consent to what are my legal options,LEGAL
explain how dependency injection works with a real code example,CODING
how does the heart pump blood,GENERAL
is it legal for police to access my deleted WhatsApp messages in India,LEGAL
what is the treatment for rheumatoid arthritis,MEDICAL
what are the legal implications of signing a document without reading it,LEGAL
what are the privacy and mental health concerns with constant smartphone use,GENERAL
implement a priority queue in Java,CODING
how do vaccines work in simple terms,GENERAL
how do I sort a list in Python,CODING
what is a legal heir certificate in India,LEGAL
I've been having chest pains for 3 days should I be worried,MEDICAL
what is evolution in simple terms,GENERAL
how do I register a company in India,LEGAL
symptoms of Parkinson's disease,MEDICAL
what is the science of aging and are there any legal protections for elderly people against discrimination,GENERAL
is it safe to take melatonin and antidepressants at the same time,MEDICAL
how does the Insolvency and Bankruptcy Code work in India,LEGAL
how do I paginate results in SQL,CODING
implement a queue using JavaScript,CODING
write a function to diff two JSON objects and return changed keys,CODING
how do antidepressants work and can an employer ask if you are on them,GENERAL
build a search index over a corpus of legal documents,CODING
what is the treatment for depression,MEDICAL
write a SQL query to get all users from a table,CODING
what actually happens when you call a function recursively,CODING
can I sue someone for defamation on social media,LEGAL
how does the stock market work,GENERAL
how long does food poisoning last,MEDICAL
my for loop in JavaScript only runs once,CODING
is it medically necessary to take statins if your LDL is 160,MEDICAL
write a function to merge two sorted arrays,CODING
how do I use environment variables in Node.js,CODING
can you take paracetamol and ibuprofen together,MEDICAL
create a Python class that inherits from another,CODING
explain what carbon trading is and whether it actually works scientifically,GENERAL
what are the best ways to improve my memory,GENERAL
what is CRISPR in simple terms,GENERAL
I've been spotting between periods for 3 months,MEDICAL
what causes vertigo,MEDICAL
what is the legal age of consent in India,LEGAL
how does inheritance work in genetics,GENERAL
what is the difference between renewable and non renewable energy,GENERAL
how do I loop through an array in JavaScript,CODING
what is the legal process for challenging a wrongful termination in India,LEGAL
is fibromyalgia a real diagnosis or just a catch all,MEDICAL
write a SQL query to pivot rows into columns,CODING
how do statins work,MEDICAL
my urine is really dark is that bad,MEDICAL
what is an operating system,GENERAL
what is the best way to learn guitar as a beginner,GENERAL
my joints are stiff every morning for about an hour,MEDICAL
can my employer make me work on public holidays without extra pay,LEGAL
I've been on metformin and my stomach is always upset,MEDICAL
my 4 year old grinds their teeth at night is that a medical problem,MEDICAL
explain the difference between shallow and deep copy,CODING
what is the difference between a psychologist and a psychiatrist,GENERAL
what happens if I take ibuprofen with blood thinners,MEDICAL
what are my rights as an employee in the UK,LEGAL
how do I read a file in Python,CODING
write a script to summarize terms from a legal document,CODING
my neighbour is playing loud music every night is there a law against that,LEGAL
how do I use the reduce function in JavaScript,CODING
what are some easy exercises I can do at home,GENERAL
how do I contest a will in the US,LEGAL
how do I deal with a difficult coworker,GENERAL
build a command line tool in Python using argparse and subcommands,CODING
how long is mono contagious,MEDICAL
how does token-based auth work at the code level,CODING
can my employer enforce a garden leave clause without my agreement,LEGAL
my heart skips a beat sometimes is that dangerous,MEDICAL
is chronic inflammation linked to heart disease,MEDICAL
SQL to find top selling products in each category using window functions,CODING
explain both how blockchain works and whether it is regulated,GENERAL
what is the science behind vaccines and why is there debate around mandating them,GENERAL
suggest a good morning routine,GENERAL
is a verbal contract legally binding,LEGAL
what is the medical reason behind why alcohol damages the liver,MEDICAL
I have been having headaches every single day for a week,MEDICAL
is it dangerous to have high triglycerides even if cholesterol is normal,MEDICAL
can you explain tachycardia and also tell me what a for loop is,GENERAL
can I take sertraline if I have a history of seizures,MEDICAL
implement a stack using Python,CODING
can you review my whole project structure,CODING
can my employer change my job role without my consent,LEGAL
is it safe to get a flu shot while on immunosuppressants,MEDICAL
my iron levels are always low no matter how much iron rich food I eat,MEDICAL
my toddler swallowed a small coin,MEDICAL
what was the Renaissance,GENERAL
what is the difference between legal insanity and a mental health diagnosis,GENERAL
how does the thyroid gland work,MEDICAL
what is the law around wrongful death suits in the US,LEGAL
what is democracy,GENERAL
how does inheritance law work when there is no will in India,LEGAL
what is the process for filing a case in consumer court in India,LEGAL
can my landlord increase rent without notice in the UK,LEGAL
can I be held liable for an accident on my property,LEGAL
can a school legally share my child's data with third party apps in India,LEGAL
what is the relationship between gut bacteria and mental health,MEDICAL
what are the risks of long term proton pump inhibitor use,MEDICAL
write a script to parse XML feed data from a government open data portal,CODING
my doctor said I have prediabetes what does that mean,MEDICAL
is it legal to resell concert tickets at a higher price in the UK,LEGAL
explain what the event loop in Node.js actually does,CODING
implement a graph using adjacency list in Python,CODING
getting module not found error in Node,CODING
how do antidepressants work,MEDICAL
can the police search my phone without a warrant in India,LEGAL
how do tides work,GENERAL
can someone use my photo without my permission,LEGAL
how long does strep throat last without antibiotics,MEDICAL
my blood sugar spikes really high after eating white rice,MEDICAL
what is the law around cyberbullying in India and can I file a case,LEGAL
this query takes forever to run,CODING
what are the legal obligations of a company that uses AI to make hiring decisions,LEGAL
what causes restless leg syndrome,MEDICAL
can my employer legally ask me to repay my training costs if I resign in the UK,LEGAL
my startup was copied by a bigger company what legal options do I have,LEGAL
write a function that reverses a string in Python,CODING
symptoms of ovarian cysts,MEDICAL
what happens legally if a clinical trial causes permanent harm to a participant,LEGAL
how does the consumer protection act work in India,LEGAL
what is two factor authentication,GENERAL
how does child support work in the US,LEGAL
can stress actually cause hair loss or is that just a myth,MEDICAL
my 3 year old has had a high fever for 2 days,MEDICAL
write a Python script to parse medical billing codes from a CSV,CODING
connect to a database and fetch all records,CODING
I keep forgetting words mid sentence is that normal,MEDICAL
I cough up a small amount of blood when I blow my nose,MEDICAL
what is at-will employment in the US,LEGAL
how does sleep affect the brain,GENERAL
implement an AVL tree in Java,CODING
tell me about how AI is being used in healthcare,GENERAL
write a Python script to process FHIR JSON health data,CODING
how does chemotherapy work,MEDICAL
what is the placebo effect,GENERAL
how do I use useState hook in React,CODING
what is the recommended daily dose of vitamin D,MEDICAL
remove duplicates from this array,CODING
is it safe to drink alcohol while taking antibiotics,MEDICAL
is the standard of care for sepsis really just antibiotics and fluids,MEDICAL
how do ACE inhibitors work,MEDICAL
my merge is causing git conflicts in the code files,CODING
I have a pain in my upper right abdomen after eating fatty food,MEDICAL
what are my rights if police stop and search me in the UK,LEGAL
the button click event isn't firing,CODING
what does it mean if my PSA levels are elevated,MEDICAL
what are edge cases I'm missing in this function,CODING
create a login form with HTML and CSS,CODING
how far is the moon from the Earth,GENERAL
write a regex to extract case numbers from legal filings,CODING
I have a sharp pain when I take a deep breath,MEDICAL
what is diabetes in simple terms,GENERAL
something is off with my authentication logic,CODING
is it legal to deny someone a job based on their credit history in the US,LEGAL
my JWT token keeps expiring immediately,CODING
SQL query to find all insurance claims that were denied in the last 30 days,CODING
write a function to check if a number is prime,CODING
what is the legal process for getting a succession certificate in India,LEGAL
I have a family history of heart disease how worried should I be,MEDICAL
implement a LRU cache in JavaScript,CODING
how does the endocrine system work,GENERAL
how do I learn to draw,GENERAL
SQL to find gaps in a sequence of order IDs,CODING
the tests pass locally but fail in CI,CODING
how do I make friends as an adult,GENERAL
write a SQL query to calculate percentile ranks for student test scores,CODING
write code to scrape and analyze public opinion data,CODING
how do electric cars work,GENERAL
can my employer fire me without notice in India,LEGAL
how do I convert this to work asynchronously,CODING
what is the psychology behind conspiracy theories and is spreading them illegal,GENERAL
what is the theory of evolution,GENERAL
SQL query to list all court cases filed within a specific date range,CODING
write a function to convert Roman numerals to integers,CODING
is it legal for an employer to ask for my social media passwords during hiring,LEGAL
can you check why this isn't working,CODING
what is the prevention of sexual harassment act in India,LEGAL
write a SQL stored procedure,CODING
I have a pain in my lower right abdomen that comes and goes,MEDICAL
can methotrexate be used for something other than cancer,MEDICAL
good movies to watch when you are feeling sad,GENERAL
how does biometric data collection work and what are the privacy laws around it,GENERAL
how do I use list comprehensions in Python,CODING
can high cortisol levels cause weight gain,MEDICAL
how does alimony work in India,LEGAL
what are the grounds for divorce in India,LEGAL
can my parents disown me legally in India,LEGAL
can my bank legally close my account without giving a reason in India,LEGAL
how do wind turbines generate electricity,GENERAL
how do blood pressure medications work,MEDICAL
how do I use the map function in JavaScript,CODING
what are my rights if a product I bought is faulty,LEGAL
how does bail work in the US,LEGAL
what is climate science,GENERAL
what are the best ways to reduce stress,GENERAL
is 37.8 a fever in adults,MEDICAL
what is the best way to apologize to someone,GENERAL
can a company legally terminate my contract because I became pregnant,LEGAL
can my employer legally track my location using my work phone in India,LEGAL
what is mindfulness,GENERAL
can my employer make me work overtime without pay in India,LEGAL
is it dangerous to stop taking SSRIs suddenly,MEDICAL
implement a linked list in Java,CODING
what is the legal process for filing a cheating case under IPC 420 in India,LEGAL
I get a really bad headache every time I exercise is that normal,MEDICAL
what are my rights if a flight is cancelled in the EU,LEGAL
is it safe to take ozempic if I have a history of pancreatitis,MEDICAL
I have a rash that won't go away,MEDICAL
write a function to validate a credit card number using Luhn,CODING
implement Dijkstra's algorithm in C++,CODING
I am being harassed by my manager but HR is doing nothing,LEGAL
can stress cause physical symptoms,MEDICAL
what are symptoms of iron deficiency anemia,MEDICAL
I've been losing weight without trying is that a bad sign,MEDICAL
my 5 year old has a fever of 39 what should I do,MEDICAL
is adderall safe to take if I have a heart condition,MEDICAL
how is celiac disease diagnosed,MEDICAL
how do I connect to a MySQL database in Python,CODING
build a model to predict patient readmission from structured data,CODING
my stomach hurts after every meal,MEDICAL
how does Bluetooth work,GENERAL
I received a legal notice from my ex employer for breach of contract,LEGAL
write a Python script to map coordinates from a geospatial dataset,CODING
what is the POCSO act in India,LEGAL
what are both the health and environmental risks of ultra processed food,GENERAL
my company fired me by email without any prior performance warning,LEGAL
can I use someone else's music in my YouTube video,LEGAL
what is the difference between a patent and a trademark,LEGAL
my name was used in a news article without permission is that legal,LEGAL
create a database schema for storing electronic health records,CODING
is a hospital legally liable if a patient gets an infection during their stay,LEGAL
what are the legal implications of signing a medical consent form under pressure,LEGAL
can my boss reduce my salary without telling me in the UK,LEGAL
what is the difference between HTTP and HTTPS,GENERAL
my teenager has been very withdrawn and sleeping all day,MEDICAL
my function works but feels wrong somehow,CODING
write code to validate and sanitize user input before inserting into a database,CODING
can a debt collector call me at any time of day in the US,LEGAL
what is a digital footprint,GENERAL
can my employer legally require me to take a drug test in India,LEGAL
my 8 year old complains of stomach aches before school every day,MEDICAL
my doctor is recommending surgery for my herniated disc should I get a second opinion,MEDICAL
write a function to find the kth largest element,CODING
why does my recursive function hit max recursion depth,CODING
my landlord is refusing to return my security deposit,LEGAL
explain what end of life care is and what legal documents I need,GENERAL
I've been having really vivid nightmares since starting this medication,MEDICAL
IndexError on line 4 when I run this,CODING
can you tell me what this code does,CODING
my blood test showed elevated liver enzymes what does that mean,MEDICAL
what is the difference between a will and a trust,LEGAL
what is the connection between autoimmune disease and leaky gut,MEDICAL
I've been on steroids for a week and I can't sleep,MEDICAL
how do I use grid layout in CSS,CODING
what is supply and demand,GENERAL
how do I use pytest to write unit tests in Python,CODING
symptoms of multiple sclerosis,MEDICAL
explain what nuclear weapons are and whether there are international laws banning them,GENERAL
how does nuclear energy work,GENERAL
what is ethics in simple terms,GENERAL
my landlord entered my flat without telling me is that legal,LEGAL
can a company sue me for a negative review online,LEGAL
can they fire me while I am on sick leave in the UK,LEGAL
write a function to find the median of a stream of numbers,CODING
write a recursive function for factorial,CODING
I have a throbbing headache behind one eye,MEDICAL
what is the right to silence during police questioning,LEGAL
implement a hash map from scratch in C++,CODING
how do I use generators in Python,CODING
what is the treatment for eczema,MEDICAL
why is this working in dev but not in production,CODING
I have been bruising really easily lately and I don't know why,MEDICAL
how do recommendation algorithms work,GENERAL
can I legally work two jobs at the same time in India,LEGAL
what books should I read if I liked Atomic Habits,GENERAL
why is my loop running one too many times,CODING
is oxycodone physically addictive after just a few days,MEDICAL
build an NLP pipeline to classify symptoms from patient intake forms,CODING
is prediabetes reversible with diet alone,MEDICAL
I have tingling in my face is that serious,MEDICAL
what is a data breach,GENERAL
what is a server,GENERAL
is it legal for a school to use facial recognition on students in the UK,LEGAL
write a SQL query to flag patients with abnormal lab values,CODING
my calves cramp up badly at night,MEDICAL
what is neuroplasticity,GENERAL
what should I pack for a two week trip to Europe,GENERAL
what is the psychology of persuasion and is manipulative advertising legal,GENERAL
what is the legal definition of medical negligence in India,LEGAL
I keep getting a weird metallic taste in my mouth,MEDICAL
explain what a pandemic is and how governments respond legally,GENERAL
what is the capital of Australia,GENERAL
what causes chest pain on the left side,MEDICAL
what is the punishment for cheque bounce in India,LEGAL
what causes irritable bowel syndrome,MEDICAL
how do I use fetch API in JavaScript,CODING
symptoms of endometriosis,MEDICAL
how do I learn a new language fast,GENERAL
build a feature extraction pipeline for tabular survey data,CODING
write a function to calculate average hospital stay duration from a dataset,CODING
what is the psychology of cult behavior and are cults illegal,GENERAL
create a binary tree in C++,CODING
I have a lump under my armpit that doesn't hurt,MEDICAL
can I sue a pharmaceutical company if their drug gave me serious side effects,LEGAL
how does facial recognition technology work,GENERAL
symptoms of bipolar disorder,MEDICAL
what is the first line treatment for community acquired pneumonia,MEDICAL
how do I challenge an unfair dismissal in the UK,LEGAL
how do solar panels work,GENERAL
explain how HTTP requests work under the hood,CODING
I ordered something online and it never arrived what are my legal rights in India,LEGAL
create a Python decorator that logs function calls,CODING
can I be denied a job because of my religion,LEGAL
write a function to check if a string is a palindrome,CODING
I lent money to a friend with no written agreement can I get it back legally,LEGAL
how does insulin work in the body,MEDICAL
what is the philosophy of existentialism,GENERAL
what does a high CRP level indicate,MEDICAL
how does garbage collection work in Python,CODING
how do I use CSS flexbox,CODING
can a landlord legally refuse to rent to someone based on their nationality in the UK,LEGAL
how much sodium per day is safe for someone with heart failure,MEDICAL
write a function to parse structured data from a court filing,CODING
what is the treatment for high blood pressure,MEDICAL
my React component is re-rendering too many times,CODING
my doctor said my ECG was slightly abnormal but not to worry should I get a second opinion,MEDICAL
I don't understand what this function is doing,CODING
how does AI work and is there any law regulating it,GENERAL
how long does a divorce take in the US,LEGAL
what is the difference between mitosis and meiosis,GENERAL
how does joint custody work in the US,LEGAL
read a JSON file and parse it,CODING
what does this SQL query actually return,CODING
I get really short of breath when I climb stairs,MEDICAL
is it legal to scrape data from a public website for commercial use,LEGAL
how do I use promises in JavaScript,CODING
what is the metaverse,GENERAL
what is the fight or flight response,GENERAL
I've been on antidepressants for 2 weeks and feel worse,MEDICAL
symptoms of a blood clot in the leg,MEDICAL
create a Dockerfile for a Python app,CODING
what is the treatment for insomnia,MEDICAL
SQL to find all contracts expiring in the next 60 days,CODING
explain what refugee status means and how the asylum process works in simple terms,GENERAL
what is the difference between a virus and a bacteria,GENERAL
what is the legal position on moonlighting in India after the IT company controversies,LEGAL
what causes migraines,MEDICAL
my doctor ordered a HbA1c test what is it measuring,MEDICAL
can my employer monitor my laptop and keystrokes while I work from home,LEGAL
symptoms of a herniated disc,MEDICAL
what is the treatment for type 2 diabetes,MEDICAL
what is the relationship between poverty and health outcomes,GENERAL
my environment variables aren't loading,CODING
sort this list without using built in functions,CODING
how do I budget my money as a student,GENERAL
write a function that finds all permutations of a string,CODING
is it normal to feel tired all the time,MEDICAL
what is biodiversity,GENERAL
why is my Python script using 100% CPU,CODING
can antidepressants cause weight gain long term,MEDICAL
my newborn has jaundice is that serious,MEDICAL
can my internet provider share my browsing history with police,LEGAL
symptoms of a concussion,MEDICAL
how do I handle exceptions in Python,CODING
what happened during the Cold War,GENERAL
how do I stop procrastinating,GENERAL
what is the water cycle,GENERAL
I feel my heartbeat in my neck is that normal,MEDICAL
what are my rights if I am made redundant in the UK,LEGAL
my boss keeps making inappropriate comments is that a legal issue,LEGAL
write a script to scrape a webpage with BeautifulSoup,CODING
write a script to extract drug names from unstructured doctor notes,CODING
write a function to convert a flat array into a nested tree structure,CODING
who was Cleopatra,GENERAL
what are the legal consequences of a doctor prescribing the wrong medication,LEGAL
write a short poem about the ocean,GENERAL
what is a neural network in simple terms,GENERAL
what is the time complexity of this algorithm,CODING
what is the treatment for a UTI,MEDICAL
I was fired without any reason or warning is that allowed,LEGAL
can my employer force me to sign an NDA after I resign,LEGAL
is it legal to operate a food business from home in India,LEGAL
write a SQL query with GROUP BY and COUNT,CODING
make this code faster,CODING
how does radiation therapy work,MEDICAL
symptoms of anxiety disorder,MEDICAL
my freelance client is refusing to pay the agreed amount,LEGAL
what are the ethical issues of autonomous weapons and are there international laws,GENERAL
write code to redact sensitive information from legal text,CODING
explain how this sorting algorithm works,CODING
my tenant has not paid rent for 3 months how do I evict them in India,LEGAL
I signed a contract under pressure can I cancel it,LEGAL
SQL to find duplicate patient records based on name and date of birth,CODING
what are the symptoms of PCOS,MEDICAL
tips for sleeping better at night,GENERAL
is it legal for an employer to pay men and women differently for the same job in the UK,LEGAL
is it legal for a company to use unpaid interns in India,LEGAL
can I take legal action if a doctor refused to treat me in an emergency,LEGAL
explain both what a recession is and how it affects everyday people,GENERAL
what is a non-disclosure agreement,LEGAL
how do lie detectors work and are they legally admissible in court,GENERAL
how do I filter an array in JavaScript,CODING
what is emotional intelligence,GENERAL
what does this stack trace mean,CODING
how does the internet work,GENERAL
build a function to calculate a patient's BMI from a health records table,CODING
create a simple Flask web server,CODING
what happens if I break a rental agreement early,LEGAL
how do I use threading in Python,CODING
how does the gig economy work and are gig workers entitled to any legal protections,GENERAL
what are the ethical and legal issues around genetic engineering,GENERAL
what are my rights during a police arrest in India,LEGAL
tell me about CRISPR and whether editing human genes is legal,GENERAL
I've been getting heart palpitations every time I drink coffee,MEDICAL
what is a normal A1C level,MEDICAL
what are my rights if a courier company loses my parcel in India,LEGAL
what is deep learning,GENERAL
write a Python script to process census microdata by age group,CODING
write a function to count word frequency,CODING
how does predictive policing software work and is it ethical,GENERAL
can I take NSAIDs if I have chronic kidney disease,MEDICAL
what are the tech and privacy issues with smart home devices,GENERAL
my doctor put me on lisinopril is that a serious drug,MEDICAL
build a cron job that archives old database records,CODING
implement depth first search in Java,CODING
explain mental health stigma and whether discrimination based on it is illegal,GENERAL
I have numbness going down my left arm,MEDICAL
what is the medical difference between a virus and a bacterial infection,MEDICAL
how does social media affect teenage mental health and what are parents legally allowed to do,GENERAL
what is the difference between AI and machine learning,GENERAL
can my employer legally use my biometric data for attendance tracking in India,LEGAL
how does memory work in the human brain,GENERAL
Python script to calculate statute of limitations dates from case data,CODING
what is an algorithm,GENERAL
how do self driving cars work,GENERAL
can my landlord enter my flat without permission in the UK,LEGAL
explain what a startup is and what kind of legal structure it should have,GENERAL
what caused the 2008 financial crisis,GENERAL
how is property divided in a divorce in India,LEGAL
what is informed consent in both a medical and a general ethical sense,GENERAL
is this the most efficient way to do it,CODING
what is the microbiome,GENERAL
